Class,Sample1,Sample2,Sample3,Sample4,Sample5,Mean,TightMean
1,149.00,226.00,180.00,154.00,143.00,170.40,161.00
1,163.00,141.00,174.00,195.00,202.00,175.00,177.33
2,392.00,382.00,413.00,462.00,495.00,428.80,422.33
2,518.00,486.00,523.00,503.00,515.00,509.00,512.00
2,433.00,466.00,466.00,476.00,468.00,461.80,466.67
2,409.00,443.00,481.00,482.00,394.00,441.80,444.33
2,495.00,495.00,506.00,524.00,385.00,481.00,498.67
2,387.00,476.00,481.00,484.00,425.00,450.60,460.67
2,402.00,509.00,506.00,181.00,441.00,407.80,449.67
2,467.00,476.00,391.00,522.00,527.00,476.60,488.33
2,516.00,524.00,514.00,579.00,578.00,542.20,539.33
2,581.00,578.00,453.00,519.00,531.00,532.40,542.67
2,542.00,539.00,495.00,495.00,512.00,516.60,515.33
2,523.00,565.00,553.00,613.00,625.00,575.80,577.00
2,593.00,536.00,555.00,582.00,605.00,574.20,576.67
2,565.00,468.00,562.00,585.00,627.00,561.40,570.67
2,619.00,629.00,625.00,637.00,630.00,628.00,628.00
2,635.00,631.00,621.00,596.00,575.00,611.60,616.00
2,613.00,620.00,621.00,623.00,460.00,587.40,618.00
2,558.00,524.00,532.00,481.00,518.00,522.60,524.67
2,530.00,548.00,550.00,550.00,575.00,550.60,549.33
2,565.00,550.00,561.00,569.00,580.00,565.00,565.00
2,590.00,586.00,608.00,584.00,594.00,592.40,590.00
2,593.00,572.00,520.00,416.00,522.00,524.60,538.00
2,524.00,560.00,515.00,537.00,537.00,534.60,532.67
2,551.00,553.00,519.00,541.00,568.00,546.40,548.33
2,545.00,569.00,559.00,595.00,565.00,566.60,564.33
3,764.00,766.00,760.00,766.00,761.00,763.40,763.67
3,760.00,757.00,764.00,755.00,681.00,743.40,757.33
3,719.00,759.00,772.00,773.00,826.00,769.80,768.00
3,835.00,840.00,841.00,844.00,846.00,841.20,841.67
3,847.00,849.00,852.00,855.00,855.00,851.60,852.00
3,840.00,839.00,815.00,776.00,740.00,802.00,810.00
3,767.00,775.00,747.00,727.00,767.00,756.60,760.33
3,808.00,822.00,827.00,827.00,850.00,826.80,825.33
3,857.00,871.00,875.00,876.00,863.00,868.40,869.67
3,830.00,770.00,619.00,643.00,830.00,738.40,747.67
3,856.00,864.00,872.00,872.00,873.00,867.40,869.33
3,875.00,875.00,876.00,878.00,873.00,875.40,875.33
3,862.00,858.00,862.00,864.00,866.00,862.40,862.67
3,862.00,868.00,871.00,860.00,882.00,868.60,867.00
3,831.00,865.00,861.00,864.00,861.00,856.40,862.00
3,866.00,896.00,906.00,888.00,906.00,892.40,896.67
3,912.00,907.00,899.00,884.00,873.00,895.00,896.67
3,879.00,902.00,891.00,906.00,888.00,893.20,893.67
3,906.00,894.00,905.00,893.00,905.00,900.60,901.33
3,928.00,903.00,884.00,890.00,895.00,900.00,896.00
3,893.00,888.00,891.00,892.00,881.00,889.00,890.33
3,883.00,886.00,889.00,902.00,903.00,892.60,892.33
3,908.00,911.00,912.00,909.00,878.00,903.60,909.33
3,852.00,847.00,867.00,881.00,885.00,866.40,866.67
3,901.00,910.00,919.00,919.00,921.00,914.00,916.00 
